Architecture,Ts Accuracy,F1 Score,AUC-ROC
HIST + ResNet50 +  Independent ANN + KFolds + NS,46.60%,37.80%,60.00%
HIST + AAL + Independent ANN + KFolds + NS,27.50%,46.40%,62.80%
HIST + ResNet50 +  Independent ANN + KFolds + WLS,40.80%,47.50%,63.30%
HIST + AAL + Independent ANN + KFolds + WLS,64.20%,36.50%,58.90%
HIST + MN152 + Independent ANN + KFolds + NS,47.50%,33.10%,55.40%
HIST + MN152 + Independent ANN + KFolds + WLS,56.00%,32.90%,56.70%
GSL + ResNet50 +  Independent ANN + KFolds + NS,50.20%,34.40%,57.50%
GSL + AAL + Independent ANN + KFolds + NS,27.80%,46.30%,61.90%
GSL + ResNet50 +  Independent ANN + KFolds + WLS,27.40%,33.80%,58.00%
GSL + AAL + Independent ANN + KFolds + WLS,61.00%,45.80%,61.50%
GSL + MN152 + Independent ANN + KFolds + NS,48.90%,31.90%,55.90%
GSL + MN152 + Independent ANN + KFolds + WLS,46.90%,31.60%,57.50%
HIST + ResNet50 +  SVC + SMOTE,91.95%,61.90%,62.95%
HIST + AAL + SVC + SMOTE,88.30%,60.70%,57.64%
HIST + ResNet50 +  LGBM + SMOTE,78.03%,45.59%,67.32%
HIST + AAL + LGBM + SMOTE,81.31%,44.24%,71.42%
HIST + ResNet50 +  XGBoost + SMOTE,64.48%,39.08%,62.60%
HIST + AAL + XGBoost + SMOTE,70.52%,42.16%,64.23%
HIST + ResNet50 +  Ensemble (XBG Bagging) + SMOTE,53.94%,34.53%,60.29%
HIST + AAL + Ensemble (XBG Bagging) + SMOTE,64.96%,39.23%,63.09%
HIST + MN152 + SVC + SMOTE,89.50%,54.75%,46.91%
HIST + MN152 + LGBM + SMOTE,79.84%,43.07%,64.13%
HIST + MN152 + XGBoost + SMOTE,62.51%,38.06%,61.03%
HIST + MN152 + Ensemble (XBG Bagging) + SMOTE,50.53%,32.11%,58.10%
GSL + ResNet50 +  SVC + SMOTE,92.21%,53.45%,61.25%
GSL + AAL + SVC + SMOTE,88.70%,61.92%,62.96%
GSL + ResNet50 +  LGBM + SMOTE,77.59%,45.78%,65.84%
GSL + AAL + LGBM + SMOTE,81.41%,45.48%,69.60%
GSL + ResNet50 +  XGBoost + SMOTE,63.75%,40.52%,62.54%
GSL + AAL + XGBoost + SMOTE,70.90%,43.70%,62.89%
GSL + ResNet50 +  Ensemble (XBG Bagging) + SMOTE,52.86%,34.16%,60.97%
GSL + AAL + Ensemble (XBG Bagging) + SMOTE,65.20%,39.93%,64.30%
GSL + MN152 + SVC + SMOTE,88.53%,53.17%,49.79%
GSL + MN152 + LGBM + SMOTE,79.81%,44.40%,65.84%
GSL + MN152 + XGBoost + SMOTE,61.96%,38.01%,62.86%
GSL + MN152 + Ensemble (XBG Bagging) + SMOTE,49.81%,32.57%,59.15%
HIST + ResNet50 +  SVC + SMOTE + 2048 Emb,88.02%,60.09%,53.37%
HIST + AAL + SVC + SMOTE + 2048 Emb,90.94%,64.20%,63.60%
HIST + MN152 + SVC + SMOTE + 2048 Emb,88.30%,59.71%,51.60%
GSL + ResNet50 +  SVC + SMOTE + 2048 Emb,88.95%,63.10%,65.03%
GSL + AAL + SVC + SMOTE + 2048 Emb,91.04%,62.80%,62.71%
GSL + MN152 + SVC + SMOTE + 2048 Emb,88.60%,59.95%,53.69%
